Naam,Pesar,Dokhtar,Rate
بندن,1.0,,بسيار نادر
بندوي,1.0,,بسيار نادر
بنرخ,,1.0,بسيار نادر
بنفش,,1.0,بسيار نادر
بنفشه,,1.0,معمولي
بنگين,,1.0,بسيار نادر
بنن,,1.0,بسيار نادر
بنيا,,1.0,معمولي
بنيامين,1.0,,پركاربرد
بنيتا,,1.0,معمولي
بنين,,1.0,معمولي
بوار,1.0,,بسيار نادر
بوبار,1.0,,بسيار نادر
بوبان,1.0,,بسيار نادر
بوبك,,1.0,بسيار نادر
بوپار,1.0,,بسيار نادر
بوتان,1.0,,بسيار نادر
بوته,,1.0,بسيار نادر
بوجه,1.0,,بسيار نادر
بوختار,,1.0,بسيار نادر
بوخشا,1.0,,بسيار نادر
بوديان,1.0,,بسيار نادر
بوذر,1.0,,بسيار نادر
بوذرجمهر,1.0,,بسيار نادر
بوراب,1.0,,بسيار نادر
بوران دخت,,1.0,بسيار نادر
بورباش,1.0,,بسيار نادر
بورچين,,1.0,بسيار نادر
بورژك,1.0,,بسيار نادر
بورنگ,1.0,,بسيار نادر
بوزرجمهر,1.0,,بسيار نادر
بوژان,1.0,,بسيار نادر
بوژنه,,1.0,بسيار نادر
بوستان,,1.0,بسيار نادر
بوستان افروز,1.0,,بسيار نادر
بوسه,,1.0,معمولي
بوسيان,1.0,,بسيار نادر
بوكان,,1.0,بسيار نادر
بوكبوياني,,1.0,بسيار نادر
بونخوش,,1.0,بسيار نادر
بوندار,,1.0,بسيار نادر
بوين,,1.0,بسيار نادر
به آذين,1.0,1.0,معمولي
به آفريد,,1.0,معمولي
به آفرين,,1.0,معمولي
به آيين,,1.0,معمولي
به آئين,1.0,,معمولي
به تام,1.0,1.0,بسيار نادر
به خاتون,,1.0,بسيار نادر
به نگار,,1.0,معمولي
به يزداد,1.0,,بسيار نادر
بها,1.0,,بسيار نادر
بهاء الدين,1.0,,بسيار نادر
بهادر,1.0,,معمولي
بهار,,1.0,پركاربرد
بهارا,,1.0,بسيار نادر
بهاران,,1.0,بسيار نادر
بهارآفرين,,1.0,معمولي
بهاردخت,,1.0,معمولي
بهاررخ,,1.0,معمولي
بهارك,,1.0,معمولي
بهارناز,,1.0,معمولي
بهاره,,1.0,پركاربرد
بهارين,,1.0,معمولي
بهامد,1.0,,بسيار نادر
بهامين,,1.0,بسيار نادر
بهان,1.0,1.0,بسيار نادر
بهانه,,1.0,بسيار نادر
بهاور,,1.0,بسيار نادر
بهبد,1.0,,معمولي
بهبود,1.0,,معمولي
بهپور,1.0,,بسيار نادر
بهتا,,1.0,معمولي
بهتاش,1.0,,بسيار نادر
بهجت,1.0,1.0,معمولي
بهداد,1.0,,معمولي
بهداور,1.0,,معمولي
بهدخت,,1.0,معمولي
بهديس,,1.0,معمولي
بهدين,1.0,,معمولي
بهرام,1.0,,معمولي
بهرامه,,1.0,معمولي
بهرانه,,1.0,معمولي
بهرخ,,1.0,معمولي
بهرنگ,1.0,,معمولي
بهرو,,1.0,معمولي
بهروزه,,1.0,معمولي
بهروش,1.0,,معمولي
بهزاد,1.0,,معمولي
بهزادان,1.0,,بسيار نادر
بهسا,,1.0,معمولي
بهستان,1.0,,بسيار نادر
بهستون,1.0,,بسيار نادر
بهسود,1.0,,بسيار نادر
بهسودان,1.0,,بسيار نادر
بهشاد,1.0,,معمولي
بهشت,,1.0,معمولي
بهشته,,1.0,معمولي
بهشيد,,1.0,معمولي
بهفام,1.0,,معمولي
بهك,1.0,,بسيار نادر
بهكامه,,1.0,معمولي
بهگل,,1.0,معمولي
بهلول,1.0,,بسيار نادر
بهمن,1.0,,معمولي
بهمن داد,1.0,,بسيار نادر
بهمن دخت,,1.0,بسيار نادر
بهمنش,1.0,,معمولي
بهمنيار,1.0,,معمولي
بهناز,,1.0,معمولي
بهنام,1.0,,معمولي
بهنواز,,1.0,معمولي
بهنود,1.0,,معمولي
بهنوش,,1.0,معمولي
بهنيا,1.0,,بسيار نادر
بهوران,1.0,,بسيار نادر
بهي,,1.0,بسيار نادر
بهيز,1.0,,بسيار نادر
بهين,,1.0,معمولي
بهين بانو,,1.0,بسيار نادر
بهين دخت,,1.0,بسيار نادر
بهينا,1.0,1.0,بسيار نادر
بهينه,,1.0,بسيار نادر
بي بش,1.0,,بسيار نادر
بي بي گل,,1.0,بسيار نادر
بي بي ماه,,1.0,بسيار نادر
بي بي ناز,,1.0,بسيار نادر
بي توش,,1.0,بسيار نادر
بي خال,,1.0,بسيار نادر
بي خم,,1.0,بسيار نادر
بي نظير,,1.0,بسيار نادر
بي وينه,,1.0,بسيار نادر
بيارش,1.0,,بسيار نادر
بياره,1.0,,بسيار نادر
بيان,,1.0,بسيار نادر
بيانه,,1.0,بسيار نادر
بيباك,1.0,,بسيار نادر
بيبون,,1.0,بسيار نادر
بيتا,1.0,1.0,پركاربرد
بيتاوان,1.0,,بسيار نادر
بيتخش,1.0,,بسيار نادر
بيتك,1.0,,بسيار نادر
بيچم,,1.0,بسيار نادر
بيدار,1.0,1.0,بسيار نادر
بيدخت,,1.0,معمولي
بيدگل,,1.0,معمولي
بيرام,1.0,,بسيار نادر
بيرشاد,1.0,,بسيار نادر
بيرگا,1.0,,بسيار نادر
بيرور,1.0,,بسيار نادر
بيرون,,1.0,بسيار نادر
بيري,,1.0,بسيار نادر
بيريفان,,1.0,بسيار نادر
بيزار,1.0,,بسيار نادر
بيژن,1.0,,معمولي
بيژه,,1.0,معمولي
بيساران,1.0,,بسيار نادر
بيسان,,1.0,بسيار نادر
بيستان,,1.0,بسيار نادر
بيستون,1.0,,معمولي
بيسو,,1.0,بسيار نادر
بيشو,,1.0,بسيار نادر
بيكژ,,1.0,بسيار نادر
بيكس,1.0,,بسيار نادر
بيكن,,1.0,بسيار نادر
بيگرد,,1.0,بسيار نادر
بيگم,,1.0,معمولي
بيلاش,1.0,,بسيار نادر
بيلو,,1.0,بسيار نادر
بينا,,1.0,معمولي
بينر,1.0,,بسيار نادر
بينور,,1.0,بسيار نادر
بينيار,,1.0,بسيار نادر
بيور,,1.0,بسيار نادر
بيورد,1.0,,بسيار نادر
بيورزاد,1.0,,بسيار نادر
بيوي,,1.0,بسيار نادر
پَتَه ماني,1.0,,بسيار نادر
پَرنگ,1.0,,بسيار نادر
پَريبُرز,1.0,,بسيار نادر
پَشَنگ,1.0,,بسيار نادر
پُرشاد,,1.0,بسيار نادر
پاپريك,1.0,,بسيار نادر
پاپوك,,1.0,بسيار نادر
پاتيرا,1.0,,بسيار نادر
پادار,1.0,,بسيار نادر
پاداش,1.0,1.0,معمولي
پاداشت,1.0,,بسيار نادر
پادرا,1.0,,معمولي
پادشا,1.0,,بسيار نادر
پادميرا,,1.0,معمولي
پادنا,,1.0,بسيار نادر
پادينا,,1.0,معمولي
پاراميدا,,1.0,معمولي
پارديس,,1.0,معمولي
پارديك,1.0,,بسيار نادر
پارس,1.0,,بسيار نادر
پارسا,1.0,,پركاربرد
پارسان,1.0,,معمولي
پارسوا,1.0,,بسيار نادر
پارسيا,1.0,,معمولي
پارسيس,1.0,,بسيار نادر
پارلا,,1.0,بسيار نادر
پارلار,,1.0,بسيار نادر
پارميدا,,1.0,معمولي
پارميس,,1.0,معمولي
پارمين,,1.0,معمولي
پارنا,,1.0,معمولي
پارند,,1.0,معمولي
پاره وان,1.0,,بسيار نادر
پاره يار,1.0,,بسيار نادر
پاساك,1.0,,بسيار نادر
پاسدار,1.0,,بسيار نادر
پاشا,1.0,,معمولي
پاشنگ,,1.0,بسيار نادر
پاك آفرين,,1.0,بسيار نادر
پاك رخ,,1.0,معمولي
پاك سيما,,1.0,معمولي
پاك گوهر,,1.0,بسيار نادر
پاكان,1.0,,بسيار نادر
پاكبانو,,1.0,معمولي
پاكچهر,,1.0,معمولي
پاكدخت,,1.0,معمولي
پاكدل,,1.0,معمولي
پاكدين,1.0,1.0,بسيار نادر
پاكر,1.0,,بسيار نادر
پاكروان,1.0,,بسيار نادر
پاكروز,,1.0,بسيار نادر
پاكروي,,1.0,بسيار نادر
پاكزاد,1.0,,معمولي
پاكفر,,1.0,بسيار نادر
پاكمهر,1.0,,بسيار نادر
پاكناز,,1.0,بسيار نادر
پاكنوش,,1.0,معمولي
پاكيزه,,1.0,بسيار نادر
پاليز,1.0,1.0,معمولي
پامچال,,1.0,معمولي
پانته,,1.0,معمولي
پانته آ,,1.0,معمولي
پانتي,,1.0,بسيار نادر
پاني,,1.0,معمولي
پانيا,,1.0,معمولي
پانيذ,,1.0,معمولي
پانيسا,,1.0,معمولي
پانيك,,1.0,بسيار نادر
پاو,1.0,,بسيار نادر
پايا,1.0,,معمولي
پايار,1.0,,معمولي
پايون,,1.0,معمولي
پاييز,,1.0,بسيار نادر
پاييزان,,1.0,بسيار نادر
پدرام,1.0,,معمولي
پديده,,1.0,معمولي
پرارين,,1.0,بسيار نادر
پرارين دخت,,1.0,بسيار نادر
پراهام,1.0,,بسيار نادر
پربها,,1.0,بسيار نادر
پرتو,,1.0,بسيار نادر
پرچم,1.0,,بسيار نادر
پرخيده,,1.0,بسيار نادر
پرداد,1.0,,معمولي
پردخت,,1.0,معمولي
پرديز,,1.0,معمولي
پرديس,,1.0,معمولي
پرزاد,,1.0,معمولي
پرزين,,1.0,معمولي
پرسا,,1.0,معمولي
پرستش,,1.0,معمولي
پرستك,,1.0,بسيار نادر
پرستو,,1.0,معمولي
پرستوك,,1.0,بسيار نادر
پرسون,,1.0,بسيار نادر
پرسيا,,1.0,معمولي
پرشان,1.0,,بسيار نادر
پرشت,,1.0,بسيار نادر
پرشنگ,,1.0,بسيار نادر
پرشيا,1.0,,معمولي
پرك,,1.0,بسيار نادر
پرگام,,1.0,بسيار نادر
پرگان,,1.0,بسيار نادر
پرگشا,,1.0,بسيار نادر
پرگل,,1.0,معمولي
پرگون,,1.0,بسيار نادر
پرمايه,1.0,,بسيار نادر
پرموديه,1.0,,بسيار نادر
پرمون,,1.0,معمولي
پرميس,,1.0,معمولي
پرن,,1.0,معمولي
پرنا,,1.0,بسيار نادر
پرناز,,1.0,معمولي
پرناك,,1.0,بسيار نادر
پرند,,1.0,معمولي
پرندخت,,1.0,بسيار نادر
پرنددخت,,1.0,بسيار نادر
پرندديس,,1.0,بسيار نادر
پرندك,,1.0,بسيار نادر
پرندوش,,1.0,بسيار نادر
پرندين,,1.0,بسيار نادر
پرنسا,,1.0,بسيار نادر
پرنوش,,1.0,معمولي
پرنون,,1.0,بسيار نادر
پرنيا,,1.0,معمولي
پرنيان,,1.0,معمولي
پرنين,,1.0,بسيار نادر
پرو,,1.0,بسيار نادر
پروا,,1.0,بسيار نادر
پروانه,,1.0,معمولي
پروچستا,,1.0,بسيار نادر
پروچيستا,,1.0,بسيار نادر
پرور,,1.0,معمولي
پروش,,1.0,معمولي
پروشات,,1.0,بسيار نادر
پرويز,1.0,,معمولي
پروين,,1.0,معمولي
پرهام,1.0,,پركاربرد
پرهان,1.0,,بسيار نادر
پري,,1.0,معمولي
پري بانو,,1.0,معمولي
پري پيكر,,1.0,بسيار نادر
پري تاج,,1.0,بسيار نادر
پري جان,,1.0,بسيار نادر
پري دخت,,1.0,معمولي
پري رو,,1.0,معمولي
پري روي,,1.0,بسيار نادر
پري سيما,,1.0,معمولي
پري گل,,1.0,معمولي
پري ويس,,1.0,معمولي
پريا,,1.0,پركاربرد
پرياس,,1.0,بسيار نادر
پريام,1.0,,بسيار نادر
پريان,,1.0,معمولي
پريچه,,1.0,بسيار نادر
پريچهر,,1.0,معمولي
پريچهره,,1.0,معمولي
پريرخ,,1.0,معمولي
پريزاد,,1.0,معمولي
پريزاده,,1.0,بسيار نادر
پريژه,,1.0,بسيار نادر
پريسا,,1.0,پركاربرد
پريسان,,1.0,بسيار نادر
پريشا,,1.0,بسيار نادر
پريفام,,1.0,بسيار نادر
پريفر,,1.0,بسيار نادر
پريگون,,1.0,بسيار نادر
پريماه,,1.0,بسيار نادر
پريمرز,,1.0,بسيار نادر
پرين,,1.0,بسيار نادر
پريناز,,1.0,معمولي
پرينام,,1.0,بسيار نادر
پرينوش,,1.0,معمولي
پريوش,,1.0,بسيار نادر
پژال,,1.0,بسيار نادر
پژدو,1.0,,بسيار نادر
پژمان,1.0,,معمولي
پژند,1.0,,بسيار نادر
پژواك,1.0,1.0,بسيار نادر
پساك,1.0,,بسيار نادر
پسته,,1.0,بسيار نادر
پسنديار,1.0,,بسيار نادر
پشتيسار,1.0,,بسيار نادر
پشن,1.0,,بسيار نادر
پشوتَن,1.0,,بسيار نادر
پشين,1.0,,بسيار نادر
پگاه,,1.0,معمولي
پلاش,1.0,,بسيار نادر
پلاشان,1.0,,بسيار نادر
پنجعلي,1.0,,بسيار نادر
پندار,1.0,,معمولي
پوپك,,1.0,معمولي
پوپه,,1.0,بسيار نادر
پودينه,,1.0,بسيار نادر
پوران,,1.0,معمولي
پوران دخت,,1.0,معمولي
پوربه,1.0,,بسيار نادر
پورچيستا,,1.0,بسيار نادر
پورشسب,1.0,,بسيار نادر
پورك,1.0,,بسيار نادر
پورنگ,1.0,,معمولي
پوروچيستا,,1.0,بسيار نادر
پوروشسب,1.0,,بسيار نادر
پوري,,1.0,معمولي
پوريا,1.0,,پركاربرد
پوريار,1.0,,معمولي
پوژمان,1.0,,بسيار نادر
پولا,1.0,,بسيار نادر
پولاد,1.0,,بسيار نادر
پولك,,1.0,بسيار نادر
پونا,,1.0,بسيار نادر
پونه,,1.0,معمولي
پويا,1.0,,پركاربرد
پويان,1.0,,بسيار نادر
پويين,1.0,,بسيار نادر
پهلبد,1.0,,بسيار نادر
پيام,1.0,,بسيار نادر
پيچك,,1.0,معمولي
پيداگشسب,1.0,,بسيار نادر
پيدرا,,1.0,بسيار نادر
پيراسته,,1.0,بسيار نادر
پيران,1.0,,بسيار نادر
پيرايه,,1.0,معمولي
پيرداد,1.0,,بسيار نادر
پيروز,1.0,,معمولي
پيروزان,1.0,,بسيار نادر
پيروزدخت,,1.0,بسيار نادر
پيروزگر,1.0,,بسيار نادر
پيروزه,1.0,1.0,بسيار نادر
پيروزي,1.0,,بسيار نادر
پيشداد,1.0,,بسيار نادر
پيكان,1.0,,بسيار نادر
پيلتَن,1.0,,بسيار نادر
پيلسم,1.0,,بسيار نادر
پيمان,1.0,,بسيار نادر
پيمانه,,1.0,بسيار نادر
پينار,,1.0,بسيار نادر
پيوند,,1.0,معمولي
تَرَنُم,,1.0,معمولي
تَسو,1.0,,بسيار نادر
تَندُر,,1.0,بسيار نادر
تَنسِر,1.0,,بسيار نادر
تَهمتَن,1.0,,بسيار نادر
تُرنج,,1.0,معمولي
تِهرت,,1.0,بسيار نادر
تِيتَك,,1.0,بسيار نادر
تابا,1.0,1.0,بسيار نادر
تابال,1.0,,بسيار نادر
تابان,1.0,1.0,معمولي
تابان چهر,,1.0,بسيار نادر
تابان دخت,,1.0,بسيار نادر
تابان رخ,,1.0,بسيار نادر
تابان گل,,1.0,بسيار نادر
تابانروي,,1.0,بسيار نادر
تابانمهر,,1.0,بسيار نادر
تابش,,1.0,معمولي
تابناك,,1.0,معمولي
تابنده,,1.0,معمولي
تابيتا,,1.0,معمولي
تاپيك,,1.0,بسيار نادر
تاتيانا,,1.0,معمولي
تاتينا,,1.0,معمولي
تاج الدين,1.0,,بسيار نادر
تاج الزمان,,1.0,بسيار نادر
تاج الملك,,1.0,بسيار نادر
تاج الملوك,,1.0,بسيار نادر
تاج آفرين,,1.0,بسيار نادر
تاج بانو,,1.0,بسيار نادر
تاج بخش,1.0,,بسيار نادر
تاج بي بي,,1.0,بسيار نادر
تاج خاتون,,1.0,بسيار نادر
تاج دخت,,1.0,بسيار نادر
تاج گل,,1.0,بسيار نادر
تاج ماه,,1.0,بسيار نادر
تاج مهر,,1.0,بسيار نادر
تاجيك,1.0,,بسيار نادر
تارا,,1.0,معمولي
تارادخت,,1.0,بسيار نادر
تاراديس,,1.0,بسيار نادر
تارح,1.0,,بسيار نادر
تارخ,1.0,,بسيار نادر
تارلا,,1.0,بسيار نادر
تارميتا,,1.0,معمولي
تازه,,1.0,بسيار نادر
تاژ,1.0,1.0,بسيار نادر
تافته,,1.0,معمولي
تاك آفرين,,1.0,بسيار نادر
تاكدخت,,1.0,بسيار نادر
تاليا,,1.0,معمولي
تامارا,,1.0,بسيار نادر
تاميلا,,1.0,معمولي
تاميما,,1.0,بسيار نادر
تانسو,,1.0,بسيار نادر
تانيا,,1.0,معمولي
تايماز,1.0,1.0,بسيار نادر
تباك,1.0,,بسيار نادر
تبسم,,1.0,معمولي
تتسگل,,1.0,بسيار نادر
تحفه,,1.0,معمولي
تحفه گل,,1.0,بسيار نادر
تخار,1.0,,بسيار نادر
تخشا,1.0,,بسيار نادر
تخشك,,1.0,بسيار نادر
تخواره,1.0,,بسيار نادر
تذرو,,1.0,بسيار نادر
تراب,1.0,,معمولي
ترانه,,1.0,معمولي
ترخان,1.0,,بسيار نادر
ترسا,,1.0,بسيار نادر
تركان,,1.0,بسيار نادر
ترگل,,1.0,معمولي
ترلان,,1.0,بسيار نادر
ترمه,,1.0,معمولي
ترنگ,,1.0,معمولي
ترنيان,,1.0,معمولي
تروند,,1.0,بسيار نادر
تريتي,,1.0,بسيار نادر
تژاو,1.0,,بسيار نادر
تسنيم,,1.0,معمولي
تشتر,,1.0,بسيار نادر
تقدير,1.0,,معمولي
تقي,1.0,,معمولي
تك آفرين,1.0,,بسيار نادر
تك بانو,,1.0,بسيار نادر
تكاپو,1.0,,معمولي
تكاو,,1.0,بسيار نادر
تكاور,1.0,,بسيار نادر
تكتا,1.0,,معمولي
تكتم,,1.0,بسيار نادر
تكش,1.0,,بسيار نادر
تكين,1.0,,بسيار نادر
تگين,1.0,,بسيار نادر
تلكا,,1.0,بسيار نادر
تلما,,1.0,بسيار نادر
تلناز,,1.0,معمولي
تليمان,1.0,,بسيار نادر
تمنا,,1.0,معمولي
تميس,,1.0,بسيار نادر
تميم,1.0,1.0,معمولي
تناز,,1.0,بسيار نادر
تنبور,,1.0,بسيار نادر
تنديس,,1.0,معمولي
تني,,1.0,بسيار نادر
تني نار,,1.0,بسيار نادر
توان,1.0,,بسيار نادر
توانا,1.0,,معمولي
توانايي,1.0,,بسيار نادر
توتيا,,1.0,معمولي
توحيد,1.0,,معمولي
تور,1.0,,بسيار نادر
توراكينا,,1.0,بسيار نادر
تورال,1.0,,بسيار نادر
توران,,1.0,بسيار نادر
تورانبانو,,1.0,بسيار نادر
توراندخت,,1.0,معمولي
تورج,1.0,,معمولي
تورك,1.0,,بسيار نادر
تورنگ,1.0,,معمولي
توري,,1.0,بسيار نادر
توريا,1.0,1.0,بسيار نادر
توس,1.0,,معمولي
توسا,,1.0,معمولي
توسكا,1.0,1.0,معمولي
توسن,1.0,,معمولي
توشنامئيتي,,1.0,بسيار نادر
توفان,,1.0,بسيار نادر
توفيق,1.0,,بسيار نادر
توكا,,1.0,بسيار نادر
توما,1.0,,بسيار نادر
تهم,1.0,,بسيار نادر
تهماسب,1.0,,معمولي
تهمورث,1.0,,معمولي
تهمورس,1.0,,بسيار نادر
تهمين,1.0,,بسيار نادر
تهمينه,,1.0,بسيار نادر
تي تي,,1.0,بسيار نادر
تي تي سا,,1.0,بسيار نادر
تي تي گل,,1.0,بسيار نادر
تي تي نار,,1.0,بسيار نادر
تيارا,,1.0,معمولي
تيام,1.0,1.0,معمولي
تيبا,,1.0,معمولي
تيدآ,,1.0,بسيار نادر
تيراژه,,1.0,معمولي
تيران,1.0,,بسيار نادر
تيرداد,1.0,,معمولي
تيزهوش,,1.0,بسيار نادر
تيس,1.0,,بسيار نادر
تيسا,,1.0,بسيار نادر
تيساگل,,1.0,بسيار نادر
تيساناز,,1.0,بسيار نادر
تيگران,1.0,,بسيار نادر
تيما,1.0,1.0,بسيار نادر
تيماس,1.0,,بسيار نادر
تيمور,1.0,,معمولي
تيمورتاش,1.0,,معمولي
تينا,,1.0,پركاربرد
تيناب,,1.0,بسيار نادر
تينوش,,1.0,بسيار نادر
تيهو,,1.0,معمولي
ثابت,1.0,,بسيار نادر
ثاقب,1.0,,بسيار نادر
ثامر,1.0,,معمولي
ثريا,,1.0,معمولي
ثمر,1.0,1.0,بسيار نادر
ثمره,,1.0,معمولي
ثمين,1.0,1.0,معمولي
ثمينا,,1.0,معمولي
ثمينه,,1.0,معمولي
ثنا,,1.0,پركاربرد
ثواب,1.0,,بسيار نادر
جابان,1.0,,بسيار نادر
جابر,1.0,,معمولي
جادي,1.0,,بسيار نادر
جارالله,1.0,,بسيار نادر
جاسم,1.0,,بسيار نادر
جاسمين,,1.0,معمولي
جالينوس,1.0,,بسيار نادر
جام,,1.0,بسيار نادر
جاماسب,1.0,,بسيار نادر
جاماسپ,1.0,,بسيار نادر
جامشيد,1.0,,بسيار نادر
جان افروز,1.0,,بسيار نادر
جان افزا,1.0,,بسيار نادر
جان آرام,,1.0,بسيار نادر
جان بخشان,1.0,,بسيار نادر
جان پرور,1.0,,بسيار نادر
جان محمد,1.0,,بسيار نادر
جان نواز,,1.0,بسيار نادر
جانا,,1.0,بسيار نادر
جانام,,1.0,بسيار نادر
جانان,1.0,,بسيار نادر
جانانه,,1.0,بسيار نادر
جانبانو,,1.0,بسيار نادر
جاندخت,,1.0,بسيار نادر
جانعلي,1.0,,بسيار نادر
جانلي,1.0,,بسيار نادر
جانمهر,,1.0,بسيار نادر
جانوسيار,1.0,,بسيار نادر
جانوشيار,1.0,,بسيار نادر
جاني,1.0,,بسيار نادر
جانيار,1.0,,بسيار نادر
جاويد,1.0,,بسيار نادر
جاهد,1.0,,بسيار نادر
جبار,1.0,,بسيار نادر
جبريل,1.0,,بسيار نادر
جبرئيل,1.0,,بسيار نادر
جبلي,1.0,,بسيار نادر
جرجيس,1.0,,بسيار نادر
جرير,1.0,,معمولي
جريره,,1.0,معمولي
جستان,1.0,,بسيار نادر
جعفر,1.0,,معمولي
جلال,1.0,,معمولي
جلال الدين,1.0,,معمولي
جلاير,1.0,,بسيار نادر
جلوه,,1.0,بسيار نادر
جليل,1.0,,معمولي
جم,1.0,,معمولي
جمال,1.0,,معمولي
جمال الدين,1.0,,معمولي
جمدخت,,1.0,بسيار نادر
جمشاد,1.0,,بسيار نادر
جمشيد,1.0,,معمولي
جمهور,1.0,,معمولي
جميله,,1.0,معمولي
جناب,1.0,,بسيار نادر
جنان,,1.0,بسيار نادر
جنت,,1.0,معمولي
جندل,1.0,,بسيار نادر
جنيد,1.0,,معمولي
جواد,1.0,,پركاربرد
جوان,1.0,,بسيار نادر
جوانشير,1.0,,معمولي
جوانمردي,1.0,,بسيار نادر
جوانوي,1.0,,بسيار نادر
جوانه,,1.0,معمولي
جواهر,,1.0,معمولي
جوهر,,1.0,بسيار نادر
جويا,1.0,,بسيار نادر
جويان,1.0,,بسيار نادر
جهان,1.0,,معمولي
جهان افروز,,1.0,معمولي
جهان آذر,,1.0,بسيار نادر
جهان آسا,,1.0,بسيار نادر
جهان آفرين,1.0,,بسيار نادر
جهان آوا,,1.0,معمولي
جهان بانو,,1.0,معمولي
جهان بخش,1.0,,بسيار نادر
جهان بين,1.0,,معمولي
جهان خاتون,,1.0,بسيار نادر
جهان فر,1.0,,معمولي
جهان ماه,,1.0,بسيار نادر
جهان مهر,1.0,1.0,معمولي
جهانبان,1.0,,بسيار نادر
جهانتاب,,1.0,بسيار نادر
جهاندار,1.0,,بسيار نادر
جهاندخت,,1.0,معمولي
جهانرخ,,1.0,بسيار نادر
جهانسوز,1.0,,بسيار نادر
جهانشاد,1.0,,بسيار نادر
جهانشاه,1.0,,بسيار نادر
جهانشيد,1.0,,بسيار نادر
جهانشير,1.0,,بسيار نادر
جهانگشاي,1.0,,بسيار نادر
جهانگير,1.0,,معمولي
جهانيار,1.0,,بسيار نادر
جهن,1.0,,بسيار نادر
جيحون,,1.0,معمولي
جيران,,1.0,بسيار نادر
جيلا,,1.0,بسيار نادر
چَمان,,1.0,معمولي
چابك,1.0,,بسيار نادر
چاكان,1.0,,بسيار نادر
چالش,1.0,,بسيار نادر
چالي,,1.0,بسيار نادر
چاليك,1.0,,بسيار نادر
چام,,1.0,بسيار نادر
چامه,,1.0,بسيار نادر
چاووش,1.0,,معمولي
چاوه,1.0,,بسيار نادر
چراغ,1.0,,بسيار نادر
چراغعلي,1.0,,بسيار نادر
چرمه,,1.0,بسيار نادر
چشمه,,1.0,معمولي
چكاد,1.0,,بسيار نادر
چكاو,,1.0,بسيار نادر
چكاوك,,1.0,بسيار نادر
چكاوه,,1.0,بسيار نادر
چلچله,,1.0,معمولي
چليپا,1.0,1.0,بسيار نادر
چمان,,1.0,بسيار نادر
چمانه,,1.0,معمولي
چمن,,1.0,بسيار نادر
چمن افروز,,1.0,بسيار نادر
چمن آرا,,1.0,بسيار نادر
چمن چهر,,1.0,بسيار نادر
چنگش,1.0,,بسيار نادر
چنگيز,1.0,,بسيار نادر
چنور,1.0,1.0,بسيار نادر
چوبين,1.0,,بسيار نادر
چوبينه,1.0,,بسيار نادر
چوك,,1.0,بسيار نادر
چوگان,1.0,,بسيار نادر
چهراب,,1.0,بسيار نادر
چهرافروز,,1.0,بسيار نادر
چهرآذر,1.0,1.0,بسيار نادر
چهرآرا,,1.0,بسيار نادر
چهرآزاد,1.0,1.0,بسيار نادر
چهربرزين,1.0,,بسيار نادر
چهرزاد,,1.0,بسيار نادر
چهرفروز,,1.0,بسيار نادر
چهرك,,1.0,بسيار نادر
چهرمينو,,1.0,بسيار نادر
چهره,,1.0,بسيار نادر
چهره گل,,1.0,بسيار نادر
چهل چراغ,,1.0,بسيار نادر
چيا,1.0,,بسيار نادر
چياكو,1.0,,بسيار نادر
چيترا,,1.0,بسيار نادر
چيچك,,1.0,معمولي
چيستا,,1.0,معمولي
چيستي,,1.0,معمولي
چيكا,,1.0,بسيار نادر
چيلان,1.0,,بسيار نادر
چيلانه,,1.0,بسيار نادر
چينوَد,1.0,,بسيار نادر
حاتم,1.0,,معمولي
حاديد,1.0,,بسيار نادر
حارث,1.0,,معمولي
حارثه,,1.0,معمولي
حارس,1.0,,معمولي
حافظ,1.0,,معمولي
حافظ الدين,1.0,,معمولي
حام,1.0,,بسيار نادر
حامد,1.0,,پركاربرد
حامده,,1.0,معمولي
حامي,1.0,,بسيار نادر
حامين,1.0,,بسيار نادر
حانان,1.0,,بسيار نادر
حانون,1.0,,بسيار نادر
حاني,1.0,1.0,بسيار نادر
حانيه,,1.0,پركاربرد
حايري,1.0,,بسيار نادر
حبان,1.0,,بسيار نادر
حبيب,1.0,,معمولي
حبيب الله,1.0,,معمولي
حبيبه,,1.0,معمولي
حجت,1.0,,معمولي
حجت الدين,1.0,,معمولي
حداد,1.0,,معمولي
حديث,,1.0,پركاربرد
حديثه,,1.0,پركاربرد
حديقه,,1.0,معمولي
حرمت,,1.0,معمولي
حرمت علي,1.0,,بسيار نادر
حره,,1.0,بسيار نادر
حرير,,1.0,معمولي
حزين,1.0,,بسيار نادر
حسام,1.0,,پركاربرد
حسام الدين,1.0,,معمولي
حسان,1.0,1.0,معمولي
حسانه,,1.0,معمولي
حسن,1.0,,پركاربرد
حسن يوسف,1.0,,بسيار نادر
حسنا,,1.0,معمولي
حسني,,1.0,معمولي
حسيب,1.0,,بسيار نادر
حسيبا,,1.0,بسيار نادر
حسين,1.0,,پركاربرد
حسينيه,,1.0,بسيار نادر
حشمت,1.0,1.0,معمولي
حشمت الله,1.0,,معمولي
حصيل,1.0,,بسيار نادر
حفصه,,1.0,بسيار نادر
حفيظ,1.0,,معمولي
حكمت,1.0,,معمولي
حكيم,1.0,,معمولي
حكيمه,,1.0,معمولي
حلاج,1.0,,معمولي
حلما,,1.0,معمولي
حليا,,1.0,معمولي
حليم,1.0,,معمولي
حليمه,,1.0,معمولي
